Time,Click alternative,Participant,Training,Correct target,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Red,Yellow,Dark green,Blue,2nd longest dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y,Calibration Median
14:44:04:359,Offset Menu,1,0,1,9854,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/p/Portal%253AAfrica.htm,408,,,1080,766,3080,,,,,,,,,,,,,,,,,,,,,263,749.5,90,19,,,173.5449649
14:44:09:200,Offset Menu,1,0,1,1773,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,497,,,388,503,383,,,,,,,,,,,,,,,,,,,,,463.9184265,125,66,18,,,173.5449649
14:44:14:663,Offset Menu,1,0,1,2446,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,854,,,24,1230,336,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:44:36:977,Offset Menu,1,0,1,19290,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,427,,,3176,977,2301,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:44:48:049,Offset Menu,1,0,1,8048,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,407,,,1607,401,1151,,,,,,,,,,,,,,,,,,,,,656.9990234,557,67,14,,,173.5449649
14:45:00:905,Offset Menu,1,0,1,9835,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.htm,1843,,,2343,928,383,,,,,,,,,,,,,,,,,,,,,87.97486877,442.5,41,15,,,173.5449649
14:45:05:569,Offset Menu,1,0,1,1640,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.Artists.htm,392,,,527,370,348,,,,,,,,,,,,,,,,,,,,,464.9951172,513,41,14,,,173.5449649
14:45:10:978,Offset Menu,1,0,1,2391,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/m/Mark_Rothko.htm,740,,,171,994,485,,,,,,,,,,,,,,,,,,,,,264.5,573.5,93,19,,,173.5449649
14:45:15:537,Offset Menu,1,0,1,1516,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/j/Jackson_Pollock.htm,7,,,869,328,310,,,,,,,,,,,,,,,,,,,,,616.71875,346.5,117,19,,,173.5449649
14:45:20:530,Offset Menu,1,0,1,1957,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.Artists.htm,530,,,283,690,453,,,,,,,,,,,,,,,,,,,,,321.5053101,125,43,18,,,173.5449649
14:45:47:731,Offset Menu,1,0,1,24182,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/r/Roman_Vishniac.htm,462,,,2943,941,1087,,,,,,,,,,,,,,,,,,,,,277.5,685.5,119,19,,,173.5449649
14:45:52:651,Offset Menu,1,0,1,1841,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,376,,,552,535,375,,,,,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,,173.5449649
14:45:57:740,Offset Menu,1,0,1,2072,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/alpha.htm,440,,,465,884,282,,,,,,,,,,,,,,,,,,,,,87.87384033,532.5,113,17,,,173.5449649
14:46:09:708,Offset Menu,1,0,1,8954,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,394,,,2126,1686,2417,,,,,,,,,,,,,,,,,,,,,88.19244385,202.5,19,15,,,173.5449649
14:46:15:044,Offset Menu,1,0,1,2321,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/c/Constructivism_%2528art%2529.htm,387,,,631,851,450,,,,,,,,,,,,,,,,,,,,,288.5,653.5,141,19,,,173.5449649
14:46:20:148,Offset Menu,1,0,0,2077,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/w/Weimar_Republic.htm,443,,,522,,1111,,,,,,,,,,,,,,,,,,,,,915.3828125,226.5,125,19,,,173.5449649
14:46:28:709,Offset Menu,1,0,1,5313,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,560,,,2447,718,1257,,,,,,,,,,,,,,,,,,,,,88.19244385,202.5,19,15,,,173.5449649
14:47:09:446,Offset Menu,1,0,1,37713,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/p/Photography.htm,401,,,3327,555,1431,,,,,,,,,,,,,,,,,,,,,499.5,793.5,93,19,,,173.5449649
14:47:30:151,Offset Menu,1,0,1,17638,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,1788,,,5125,1308,831,,,,,,,,,,,,,,,,,,,,,88.19244385,202.5,19,15,,,173.5449649
14:47:35:294,Offset Menu,1,0,1,2127,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,865,,,37,805,418,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:47:42:255,Offset Menu,1,0,1,3945,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,383,,,554,2366,640,,,,,,,,,,,,,,,,,,,,,87.76922607,322.5,63,15,,,173.5449649
