Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:26:12:383,A Posteriori,1,0,1,8,1970,file:///C:/wikipedia-schools-3.0.1/wp/p/Portal%253AEarly_Modern_Britain.htm,,,,,,,,1608,362,,Blue,0,0,0,0,0,0,1,225,392,0,0,0,0,0,225,392,315,461.5,194,19,,
16:26:18:257,A Posteriori,1,0,1,1,3433,file:///C:/wikipedia-schools-3.0.1/wp/j/John_Locke.htm,,,,,,,,1226,2206,,Violet,0,0,1,0,0,0,0,251,1019,0,90,279,0,0,0,251,514.5234375,684.5,45,19,,
16:26:23:034,A Posteriori,1,0,1,3,2328,file:///C:/wikipedia-schools-3.0.1/wp/p/Political_philosophy.htm,,,,,,,,825,1502,,Violet,0,0,1,0,0,0,0,278,981,0,337,278,0,0,0,0,953,566,122,16,,
16:26:26:651,A Posteriori,1,0,1,6,1165,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,,,,,,,,908,256,,Yellow,0,0,0,0,1,0,0,288,379,0,0,395,91,288,0,0,88.11529541,242.5,63,15,,
16:26:30:273,A Posteriori,1,0,1,6,1179,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.htm,,,,,,,,933,246,,Dark Green,0,0,0,0,0,1,0,247,275,0,0,0,0,247,275,0,88.45417786,382.5,133,15,,
16:26:33:909,A Posteriori,1,0,1,2,1191,file:///C:/wikipedia-schools-3.0.1/wp/l/Language.htm,,,,,,,,947,244,,Yellow,0,0,0,0,1,0,0,274,274,0,0,0,0,274,310,0,255,713.5,74,19,,
16:26:38:133,A Posteriori,1,0,1,3,1220,file:///C:/wikipedia-schools-3.0.1/wp/h/Human.htm,,,,,,,,983,237,,Violet,0,0,1,0,0,0,0,61,390,61,61,267,0,0,0,0,517.6953125,154.5,52,19,,
16:26:41:486,A Posteriori,1,0,0,3,864,file:///C:/wikipedia-schools-3.0.1/wp/t/Technology.htm,,,,,,,,,864,,Cyan,0,0,0,1,0,0,0,243,243,0,0,246,243,0,0,0,572.8125,418.5,93,19,,
16:26:45:227,A Posteriori,1,0,1,5,1259,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Music.htm,,,,,,,,1044,214,,Dark Green,0,0,0,0,0,1,0,245,245,0,0,0,303,0,245,0,88.04478455,422.5,35,15,,
16:26:52:406,A Posteriori,1,0,1,6,4745,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,,,,,,,,1020,3725,,Dark Grey,1,0,0,0,0,0,0,274,1403,285,31,0,0,0,274,0,88.36573029,402.5,73,15,,
16:26:55:973,A Posteriori,1,0,1,4,1125,file:///C:/wikipedia-schools-3.0.1/wp/c/Classical_mechanics.htm,,,,,,,,886,239,,Yellow,0,0,0,0,1,0,0,0,269,0,0,0,0,269,0,0,907.5,695.5,147,19,,
16:26:59:713,A Posteriori,1,0,1,5,1277,file:///C:/wikipedia-schools-3.0.1/wp/m/Momentum.htm,,,,,,,,1039,238,,Cyan,0,0,0,1,0,0,0,55,267,0,0,0,267,55,0,0,961.6347046,558,74,16,,
16:27:03:434,A Posteriori,1,0,1,3,1238,file:///C:/wikipedia-schools-3.0.1/wp/t/Time.htm,,,,,,,,1030,206,,Blue,0,0,0,0,0,0,1,142,235,0,0,0,142,0,0,235,940.6230469,551,34,16,,
16:27:07:223,A Posteriori,1,0,1,4,1268,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,,,,,,,,1021,246,,Violet,0,0,1,0,0,0,0,145,307,0,0,275,31,0,0,145,88.26295471,502.5,47,15,,
16:27:10:944,A Posteriori,1,0,1,5,1286,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.History.htm,,,,,,,,1047,238,,Yellow,0,0,0,0,1,0,0,255,268,0,0,255,0,268,0,0,87.98978424,342.5,41,15,,
16:27:14:671,A Posteriori,1,0,1,5,1272,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Religion.htm,,,,,,,,1057,214,,Violet,0,0,1,0,0,0,0,244,332,0,0,244,88,285,0,0,87.92285156,482.5,47,15,,
16:27:18:302,A Posteriori,1,0,1,2,1199,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Religion.Religious_texts.htm,,,,,,,,985,213,,Yellow,0,0,0,0,1,0,0,220,243,0,0,220,0,243,0,0,465.2716064,651,87,14,,
